EC_number,BinID,Enrichment,product,gene,Classification,Confidence,Tax_Level,Quality,General_Pathway
2.3.1.61,Emma2metabat.10,Emma2,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,sucB,Achromobacter,0.81,genus,Low,Citrate cycle (TCA cycle)
4.2.1.17,Emma2metabat.10,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Achromobacter,0.81,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_2,Achromobacter,0.81,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.10,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF_2,Achromobacter,0.81,genus,Low,Aminobenzoate degradation
4.2.1.3,Emma2metabat.10,Emma2,Aconitate hydratase A,acnM,Achromobacter,0.81,genus,Low,Citrate cycle (TCA cycle)
4.1.1.49,Emma2metabat.11,Emma2,Phosphoenolpyruvate carboxykinase (ATP),pckA,Trueperaceae bacterium*,0.38,species,Low,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.11,Emma2,Dihydrolipoyl dehydrogenase,lpd,Trueperaceae bacterium*,0.38,species,Low,Citrate cycle (TCA cycle)
1.1.1.37,Emma2metabat.11,Emma2,Malate dehydrogenase,mdh,Trueperaceae bacterium*,0.38,species,Low,Citrate cycle (TCA cycle)
2.3.1.9,Emma2metabat.11,Emma2,Acetyl-CoA acetyltransferase,phaA,Trueperaceae bacterium*,0.38,species,Low,Benzoate degradation
1.2.4.2,Emma2metabat.11,Emma2,2-oxoglutarate dehydrogenase E1 component,sucA,Trueperaceae bacterium*,0.38,species,Low,Citrate cycle (TCA cycle)
3.6.1.7,Emma2metabat.11,Emma2,Acylphosphatase,yccX,Trueperaceae bacterium*,0.38,species,Low,Aminobenzoate degradation
4.1.1.32,Emma2metabat.12,Emma2,Phosphoenolpyruvate carboxykinase [GTP],pckG,Rhodococcus,1,genus,Low,Citrate cycle (TCA cycle)
2.3.1.16,Emma2metabat.12,Emma2,Steroid 3-ketoacyl-CoA thiolase,fadA5,Rhodococcus,1,genus,Low,Benzoate degradation
3.5.1.4,Emma2metabat.12,Emma2,Acetamidase,amdA,Rhodococcus,1,genus,Low,Aminobenzoate degradation
2.8.3.6,Emma2metabat.13,Emma2,3-oxoadipate CoA-transferase subunit B,pcaJ_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
5.3.3.4,Emma2metabat.13,Emma2,Muconolactone Delta-isomerase,catC,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.1.1.24,Emma2metabat.13,Emma2,3-oxoadipate enol-lactonase 2,catD_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.1.1.57,Emma2metabat.13,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.1.1.57,Emma2metabat.13,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_1,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
2.3.1.174,Emma2metabat.13,Emma2,Beta-ketoadipyl-CoA thiolase,pcaF_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.8.1.4,Emma2metabat.13,Emma2,Dihydrolipoyl dehydrogenase,pdhD,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
2.3.1.12,Emma2metabat.13,Emma2,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,aceF,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.13,Emma2,Dihydrolipoyl dehydrogenase,lpdA,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.2.4.1,Emma2metabat.13,Emma2,Pyruvate dehydrogenase E1 component,aceE,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
3.5.1.4,Emma2metabat.13,Emma2,Putative amidase AmiD,amiD_1,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
2.3.1.16,Emma2metabat.13,Emma2,3-ketoacyl-CoA thiolase,fadA_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.14.13.24,Emma2metabat.13,Emma2,3-hydroxybenzoate 6-hydroxylase,mhbM,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.14.12.1,Emma2metabat.13,Emma2,"Anthranilate 1,2-dioxygenase large subunit",antA_1,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
3.5.1.4,Emma2metabat.13,Emma2,Putative amidase AmiD,amiD_2,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
3.1.1.57,Emma2metabat.13,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_2,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.1.1.57,Emma2metabat.13,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_2,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
1.1.5.4,Emma2metabat.13,Emma2,Malate:quinone oxidoreductase,mqo,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.14.12.1,Emma2metabat.13,Emma2,"Anthranilate 1,2-dioxygenase small subunit",andAd,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
2.3.1.61,Emma2metabat.13,Emma2,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,sucB,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.13,Emma2,Dihydrolipoyl dehydrogenase,lpd,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.1.1.157,Emma2metabat.13,Emma2,3-hydroxybutyryl-CoA dehydrogenase,hbd,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.3.5.4,Emma2metabat.13,Emma2,Fumarate reductase flavoprotein subunit,ifcA,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.14.13.208,Emma2metabat.13,Emma2,Benzoyl-CoA oxygenase component A,boxA,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.14.13.208,Emma2metabat.13,Emma2,Benzoyl-CoA oxygenase component B,boxB,Achromobacter,0.74,genus,Medium,Benzoate degradation
6.2.1.25,Emma2metabat.13,Emma2,Benzoate--CoA ligase,bclA,Achromobacter,0.74,genus,Medium,Benzoate degradation
6.2.1.25,Emma2metabat.13,Emma2,Benzoate--CoA ligase,bclA,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
2.8.3.6,Emma2metabat.13,Emma2,3-oxoadipate CoA-transferase subunit A,pcaI_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
2.8.3.6,Emma2metabat.13,Emma2,3-oxoadipate CoA-transferase subunit B,pcaJ_2,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.1.1.42,Emma2metabat.13,Emma2,Isocitrate dehydrogenase [NADP],icd,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
5.5.1.1,Emma2metabat.13,Emma2,Muconate cycloisomerase 1,catB,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.2,Emma2metabat.13,Emma2,"Fumarate hydratase class I, anaerobic",fumB_1,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
2.3.1.16,Emma2metabat.13,Emma2,3-ketoacyl-CoA thiolase,fadA_2,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.2,Emma2metabat.13,Emma2,Fumarate hydratase class II,fumC,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
5.4.4.3,Emma2metabat.13,Emma2,3-hydroxylaminophenol mutase,NA,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase,fadB_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase,fadB_1,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,"2,3-dehydroadipyl-CoA hydratase",paaF,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
1.14.12.1,Emma2metabat.13,Emma2,"Anthranilate 1,2-dioxygenase large subunit",antA_2,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
1.1.1.37,Emma2metabat.13,Emma2,Malate dehydrogenase,mdh_1,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.13,Emma2,Dihydrolipoyl dehydrogenase 3,lpd3,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase echA8,echA8_1,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
2.8.3.6,Emma2metabat.13,Emma2,3-oxoadipate CoA-transferase subunit B,pcaJ_3,Achromobacter,0.74,genus,Medium,Benzoate degradation
2.8.3.6,Emma2metabat.13,Emma2,3-oxoadipate CoA-transferase subunit A,pcaI_2,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.1.1.24,Emma2metabat.13,Emma2,3-oxoadipate enol-lactonase 2,catD_2,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.1.1.32,Emma2metabat.13,Emma2,Phosphoenolpyruvate carboxykinase [GTP],pckG,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
4.1.3.17,Emma2metabat.13,Emma2,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.1.99.31,Emma2metabat.13,Emma2,(S)-mandelate dehydrogenase,mdlB_1,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
1.1.1.35,Emma2metabat.13,Emma2,3-hydroxybutyryl-CoA dehydrogenase,NA,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase echA8,echA8_2,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
2.3.1.174,Emma2metabat.13,Emma2,"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase",paaJ,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.1.1.92,Emma2metabat.13,Emma2,4-sulfomuconolactone hydrolase,NA,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase echA8,echA8_3,Achromobacter,0.74,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.13,Emma2,putative enoyl-CoA hydratase echA8,echA8_3,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
1.1.99.31,Emma2metabat.13,Emma2,(S)-mandelate dehydrogenase,mdlB_2,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
2.3.1.9,Emma2metabat.13,Emma2,Acetyl-CoA acetyltransferase,thlA,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.5.1.86,Emma2metabat.13,Emma2,Mandelamide hydrolase,mdlY,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
4.2.1.3,Emma2metabat.13,Emma2,Aconitate hydratase A,acnA,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
4.2.1.2,Emma2metabat.13,Emma2,"Fumarate hydratase class I, anaerobic",fumB_2,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
5.5.1.2,Emma2metabat.13,Emma2,"3-carboxy-cis,cis-muconate cycloisomerase",pcaB,Achromobacter,0.74,genus,Medium,Benzoate degradation
2.3.1.174,Emma2metabat.13,Emma2,Beta-ketoadipyl-CoA thiolase,pcaF_2,Achromobacter,0.74,genus,Medium,Benzoate degradation
2.3.1.16,Emma2metabat.13,Emma2,3-ketoacyl-CoA thiolase,fadA_3,Achromobacter,0.74,genus,Medium,Benzoate degradation
1.1.99.31,Emma2metabat.13,Emma2,(S)-mandelate dehydrogenase,mdlB_3,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
4.2.1.3,Emma2metabat.13,Emma2,Aconitate hydratase A,acnM,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.13,Emma2,Dihydrolipoyl dehydrogenase,lpdV,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.6.5.7,Emma2metabat.13,Emma2,"2-hydroxy-1,4-benzoquinone reductase",NA,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
3.5.1.4,Emma2metabat.13,Emma2,Putative amidase AmiD,amiD_4,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
3.6.1.7,Emma2metabat.13,Emma2,Acylphosphatase,acyP,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
3.1.1.57,Emma2metabat.13,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_3,Achromobacter,0.74,genus,Medium,Benzoate degradation
3.1.1.57,Emma2metabat.13,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_3,Achromobacter,0.74,genus,Medium,Aminobenzoate degradation
6.2.1.5,Emma2metabat.13,Emma2,Succinate--CoA ligase [ADP-forming] subunit alpha,sucD,Achromobacter,0.74,genus,Medium,Citrate cycle (TCA cycle)
1.1.99.31,Emma2metabat.14,Emma2,(S)-mandelate dehydrogenase,mdlB_1,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
2.3.1.16,Emma2metabat.14,Emma2,3-ketoacyl-CoA thiolase,fadA_1,Achromobacter,0.85,genus,Medium,Benzoate degradation
5.4.4.3,Emma2metabat.14,Emma2,3-hydroxylaminophenol mutase,NA,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
1.3.8.10,Emma2metabat.14,Emma2,Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase,NA,Achromobacter,0.85,genus,Medium,Benzoate degradation
1.8.1.4,Emma2metabat.14,Emma2,Dihydrolipoyl dehydrogenase,pdhD,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
4.2.1.83,Emma2metabat.14,Emma2,4-oxalmesaconate hydratase,galB,Achromobacter,0.85,genus,Medium,Benzoate degradation
2.3.1.174,Emma2metabat.14,Emma2,Beta-ketoadipyl-CoA thiolase,pcaF,Achromobacter,0.85,genus,Medium,Benzoate degradation
3.1.1.92,Emma2metabat.14,Emma2,4-sulfomuconolactone hydrolase,NA,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
1.13.11.1,Emma2metabat.14,Emma2,"Catechol 1,2-dioxygenase 1",catA1,Achromobacter,0.85,genus,Medium,Benzoate degradation
5.5.1.1,Emma2metabat.14,Emma2,Muconate cycloisomerase 1,catB,Achromobacter,0.85,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.14,Emma2,putative enoyl-CoA hydratase echA6,echA6,Achromobacter,0.85,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.14,Emma2,putative enoyl-CoA hydratase echA6,echA6,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
2.3.1.9,Emma2metabat.14,Emma2,Acetyl-CoA acetyltransferase,thlA,Achromobacter,0.85,genus,Medium,Benzoate degradation
4.2.1.2,Emma2metabat.14,Emma2,"Fumarate hydratase class I, anaerobic",fumB_1,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
4.1.3.17,Emma2metabat.14,Emma2,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK_1,Achromobacter,0.85,genus,Medium,Benzoate degradation
3.1.1.57,Emma2metabat.14,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_1,Achromobacter,0.85,genus,Medium,Benzoate degradation
3.1.1.57,Emma2metabat.14,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_1,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
1.1.99.31,Emma2metabat.14,Emma2,(S)-mandelate dehydrogenase,mdlB_2,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
1.1.1.42,Emma2metabat.14,Emma2,Isocitrate dehydrogenase [NADP],icd_1,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
1.8.1.4,Emma2metabat.14,Emma2,Dihydrolipoyl dehydrogenase 3,lpd3,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
1.1.1.42,Emma2metabat.14,Emma2,Isocitrate dehydrogenase [NADP],icd_2,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
4.2.1.17,Emma2metabat.14,Emma2,putative enoyl-CoA hydratase echA8,echA8,Achromobacter,0.85,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.14,Emma2,putative enoyl-CoA hydratase echA8,echA8,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
1.1.99.31,Emma2metabat.14,Emma2,(S)-mandelate dehydrogenase,mdlB_3,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
4.1.3.17,Emma2metabat.14,Emma2,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK_2,Achromobacter,0.85,genus,Medium,Benzoate degradation
5.5.1.2,Emma2metabat.14,Emma2,"3-carboxy-cis,cis-muconate cycloisomerase",pcaB,Achromobacter,0.85,genus,Medium,Benzoate degradation
4.2.1.2,Emma2metabat.14,Emma2,"Fumarate hydratase class I, anaerobic",fumB_2,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
3.5.1.4,Emma2metabat.14,Emma2,Putative amidase AmiD,amiD_2,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
1.8.1.4,Emma2metabat.14,Emma2,Dihydrolipoyl dehydrogenase,lpdV,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
1.3.5.4,Emma2metabat.14,Emma2,Fumarate reductase flavoprotein subunit,ifcA,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
3.1.1.57,Emma2metabat.14,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_2,Achromobacter,0.85,genus,Medium,Benzoate degradation
3.1.1.57,Emma2metabat.14,Emma2,"2-pyrone-4,6-dicarbaxylate hydrolase",pmdD_2,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
6.2.1.5,Emma2metabat.14,Emma2,Succinate--CoA ligase [ADP-forming] subunit alpha,sucD,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
1.2.4.1,Emma2metabat.14,Emma2,Pyruvate dehydrogenase E1 component,aceE,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
4.1.1.32,Emma2metabat.14,Emma2,Phosphoenolpyruvate carboxykinase [GTP],pckG,Achromobacter,0.85,genus,Medium,Citrate cycle (TCA cycle)
4.2.1.80,Emma2metabat.14,Emma2,2-keto-4-pentenoate hydratase,mhpD,Achromobacter,0.85,genus,Medium,Benzoate degradation
2.8.3.6,Emma2metabat.14,Emma2,3-oxoadipate CoA-transferase subunit B,pcaJ,Achromobacter,0.85,genus,Medium,Benzoate degradation
2.8.3.6,Emma2metabat.14,Emma2,3-oxoadipate CoA-transferase subunit A,pcaI,Achromobacter,0.85,genus,Medium,Benzoate degradation
2.3.1.16,Emma2metabat.14,Emma2,3-ketoacyl-CoA thiolase,fadA_2,Achromobacter,0.85,genus,Medium,Benzoate degradation
3.5.1.86,Emma2metabat.14,Emma2,Mandelamide hydrolase,mdlY,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
3.5.1.4,Emma2metabat.14,Emma2,Putative amidase AmiD,amiD_3,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
4.2.1.17,Emma2metabat.14,Emma2,putative enoyl-CoA hydratase echA12,NA,Achromobacter,0.85,genus,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.14,Emma2,putative enoyl-CoA hydratase echA12,NA,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
6.2.1.25,Emma2metabat.14,Emma2,Benzoate--CoA ligase,bclA,Achromobacter,0.85,genus,Medium,Benzoate degradation
6.2.1.25,Emma2metabat.14,Emma2,Benzoate--CoA ligase,bclA,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
1.14.12.1,Emma2metabat.14,Emma2,"Anthranilate 1,2-dioxygenase large subunit",antA,Achromobacter,0.85,genus,Medium,Aminobenzoate degradation
4.1.3.17,Emma2metabat.14,Emma2,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK_3,Achromobacter,0.85,genus,Medium,Benzoate degradation
2.3.1.16,Emma2metabat.15,Emma2,Steroid 3-ketoacyl-CoA thiolase,fadA5,Rhodococcus,0.97,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.15,Emma2,putative enoyl-CoA hydratase echA8,echA8,Rhodococcus,0.97,genus,Low,Benzoate degradation
4.2.1.17,Emma2metabat.15,Emma2,putative enoyl-CoA hydratase echA8,echA8,Rhodococcus,0.97,genus,Low,Aminobenzoate degradation
4.1.3.17,Emma2metabat.15,Emma2,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,rraA,Rhodococcus,0.97,genus,Low,Benzoate degradation
1.14.13.2,Emma2metabat.16,Emma2,p-hydroxybenzoate hydroxylase,pobA_1,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
1.13.11.3,Emma2metabat.16,Emma2,"Protocatechuate 3,4-dioxygenase alpha chain",pcaG,Alcaligenaceae,0.34,family,Medium,Polycyclic aromatic hydrocarbon degradation
1.13.11.3,Emma2metabat.16,Emma2,"Protocatechuate 3,4-dioxygenase alpha chain",pcaG,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
1.13.11.3,Emma2metabat.16,Emma2,"Protocatechuate 3,4-dioxygenase beta chain",pcaH,Alcaligenaceae,0.34,family,Medium,Polycyclic aromatic hydrocarbon degradation
1.13.11.3,Emma2metabat.16,Emma2,"Protocatechuate 3,4-dioxygenase beta chain",pcaH,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
1.1.1.35,Emma2metabat.16,Emma2,putative 3-hydroxyacyl-CoA dehydrogenase,fadN,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
2.3.1.16,Emma2metabat.16,Emma2,3-ketoacyl-CoA thiolase,fadA_1,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.16,Emma2,putative enoyl-CoA hydratase echA6,echA6,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
4.2.1.17,Emma2metabat.16,Emma2,putative enoyl-CoA hydratase echA6,echA6,Alcaligenaceae,0.34,family,Medium,Aminobenzoate degradation
4.2.1.83,Emma2metabat.16,Emma2,4-oxalmesaconate hydratase,galB,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
4.1.3.17,Emma2metabat.16,Emma2,4-carboxy-4-hydroxy-2-oxoadipate aldolase,ligK_1,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
1.13.11.8,Emma2metabat.16,Emma2,"Protocatechuate 4,5-dioxygenase beta chain",ligB_1,Alcaligenaceae,0.34,family,Medium,Polycyclic aromatic hydrocarbon degradation
1.13.11.8,Emma2metabat.16,Emma2,"Protocatechuate 4,5-dioxygenase beta chain",ligB_1,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
1.13.11.8,Emma2metabat.16,Emma2,"Protocatechuate 4,5-dioxygenase beta chain",ligB_1,Alcaligenaceae,0.34,family,Medium,Aminobenzoate degradation
1.13.11.57,Emma2metabat.16,Emma2,Gallate dioxygenase,galA_1,Alcaligenaceae,0.34,family,Medium,Aminobenzoate degradation
2.3.1.16,Emma2metabat.16,Emma2,Beta-ketothiolase BktB,bktB,Alcaligenaceae,0.34,family,Medium,Benzoate degradation
4.1.1.7,Emma2metabat.16,Emma2,Benzoylformate decarboxylase,mdlC_1,Alcaligenaceae,0.34,family,Medium,Aminobenzoate degradation
